file,line,class_physical,rule,priority,context
apps/web/src/components/commerce/TermsCheckbox.tsx,43,pl-7,pl->ps,P0,"<p role=""alert"" className=""pl-7 text-xs text-petale-dark"">"
apps/web/src/components/commerce/CartButton.tsx,33,right-0.5,right->end,P0,"<span className=""absolute -right-0.5 -top-0.5 h-2 w-2 rounded-full bg-encre"" />"
apps/web/src/components/commerce/SubProductBlock.tsx,101,left-0,left->start,P0,"className=""!relative !top-0 !left-0 shrink-0"""
apps/web/src/components/commerce/SubProductBlock.tsx,106,ml-2,ml->ms,P0,"<span className=""ml-2 font-body italic text-base text-encre/55"">"
apps/web/src/components/commerce/ShippingModeSelector.tsx,64,ml-auto,ml->ms,P0,"<span className=""ml-auto text-sm text-encre/70"">"
apps/web/src/components/commerce/ShippingModeSelector.tsx,73,pl-7,pl->ps,P0,"<span className=""pl-7 text-xs text-encre/60"">{opt.hint}</span>"
apps/web/src/components/commerce/InciTooltip.tsx,85,ml-1,ml->ms,P0,"className=""ml-1 inline-flex h-5 w-5 items-center justify-center rounded-full text-encre/55 hover:text-encre focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-[#C8A876] focus-visible:r"
apps/web/src/components/commerce/InciTooltip.tsx,94,left-0,left->start,P0,"className=""absolute left-0 top-full z-50 mt-2 block w-64 max-w-xs rounded-md border border-encre/10 bg-creme p-3 shadow-md"""
apps/web/src/components/commerce/ComparatifTable.tsx,11,text-left,text-left->text-start,P0,"<thead className=""bg-encre text-creme text-left"">"
apps/web/src/components/commerce/ComparatifTable.tsx,29,text-left,text-left->text-start,P0,"className=""bg-creme-warm p-4 text-left font-display text-base text-encre"""
apps/web/src/components/commerce/PaymentMethodSelector.tsx,83,pl-7,pl->ps,P0,"<span className=""pl-7 text-xs text-encre/60"">{opt.hint}</span>"
apps/web/src/components/commerce/PostCtaLink.tsx,54,text-right,text-right->text-end,P0,"<div className=""mt-4 text-right"">"
apps/web/src/components/commerce/CartItem.tsx,90,text-right,text-right->text-end,P0,"<div className=""text-right"">"
apps/web/src/components/commerce/StickyCartCTA.tsx,65,left-auto,left->start,P0,"className=""fixed inset-x-0 bottom-0 border-t border-encre/10 bg-creme/95 px-4 py-3 backdrop-blur transition-[transform,opacity] duration-base ease-out-soft data-[visible=false]:translate-y-full data-["
